Microsoft Windows [Version 10.0.17763.4737]
(c) 2018 Microsoft Corporation. All rights reserved.

C:\Users\ncadmin>netstat -a

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:80             MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:135            MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:443            MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:445            MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:1947           MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:3389           MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:5060           MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:5985           MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:9001           MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:13585          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:17430          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:17432          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:18080          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:39274          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:47001          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:49664          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:49665          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:49669          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:49671          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:49672          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:49701          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:49704          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:49726          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:49891          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:53317          MHPNCBRAPP01:0         LISTENING
  TCP    0.0.0.0:57367          MHPNCBRAPP01:0         LISTENING
  TCP    10.10.10.150:139       MHPNCBRAPP01:0         LISTENING
  TCP    10.10.10.150:1947      MHPNCBRAPP01:60265     TIME_WAIT
  TCP    10.10.10.150:1947      MHPNCBRAPP01:60272     TIME_WAIT
  TCP    10.10.10.150:1947      MHPNCBRAPP01:60274     TIME_WAIT
  TCP    10.10.10.150:1947      MHPNCBRAPP01:60307     TIME_WAIT
  TCP    10.10.10.150:1947      MHPNCBRAPP01:60310     TIME_WAIT
  TCP    10.10.10.150:1947      MHPNCBRAPP01:60321     TIME_WAIT
  TCP    10.10.10.150:1947      MHPNCBRAPP01:60323     TIME_WAIT
  TCP    10.10.10.150:1947      MHPNCBRAPP01:60331     TIME_WAIT
  TCP    10.10.10.152:139       MHPNCBRAPP01:0         LISTENING
  TCP    10.170.3.136:139       MHPNCBRAPP01:0         LISTENING
  TCP    10.170.3.136:3389      mhawac2:62291          ESTABLISHED
  TCP    10.170.3.136:13585     MHPINTERFACE01:64236   ESTABLISHED
  TCP    10.170.3.136:17430     MHPNCBRAPP01:50069     ESTABLISHED
  TCP    10.170.3.136:46555     MHPNCBRAPP01:0         LISTENING
  TCP    10.170.3.136:46555     MHPNCBRAPP01:50020     ESTABLISHED
  TCP    10.170.3.136:46555     MHPNCBRAPP01:51857     ESTABLISHED
  TCP    10.170.3.136:46555     MHPNCBRAPP01:55144     ESTABLISHED
  TCP    10.170.3.136:46555     MHPNCBRAPP01:59359     ESTABLISHED
  TCP    10.170.3.136:46555     MHPNCBRAPP01:59380     ESTABLISHED
  TCP    10.170.3.136:46555     MHPNCBRAPP01:59423     ESTABLISHED
  TCP    10.170.3.136:46555     MHPNCBRAPP01:59442     ESTABLISHED
  TCP    10.170.3.136:46555     MHPNCBRAPP01:63666     ESTABLISHED
  TCP    10.170.3.136:50020     MHPNCBRAPP01:46555     ESTABLISHED
  TCP    10.170.3.136:50069     MHPNCBRAPP01:17430     ESTABLISHED
  TCP    10.170.3.136:50736     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:51857     MHPNCBRAPP01:46555     ESTABLISHED
  TCP    10.170.3.136:52742     172.22.4.100:microsoft-ds  ESTABLISHED
  TCP    10.170.3.136:53291     10.161.30.112:10001    ESTABLISHED
  TCP    10.170.3.136:54895     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:55144     MHPNCBRAPP01:46555     ESTABLISHED
  TCP    10.170.3.136:56370     MHFSCL01B:epmap        ESTABLISHED
  TCP    10.170.3.136:57355     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:57367     MHPNCSQL01:58381       ESTABLISHED
  TCP    10.170.3.136:57420     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:58171     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:58237     172.22.4.100:epmap     ESTABLISHED
  TCP    10.170.3.136:58238     172.22.4.100:49482     ESTABLISHED
  TCP    10.170.3.136:58433     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:58945     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:59359     MHPNCBRAPP01:46555     ESTABLISHED
  TCP    10.170.3.136:59380     MHPNCBRAPP01:46555     ESTABLISHED
  TCP    10.170.3.136:59423     MHPNCBRAPP01:46555     ESTABLISHED
  TCP    10.170.3.136:59440     MHPNCSQL01:ms-sql-s    TIME_WAIT
  TCP    10.170.3.136:59442     MHPNCBRAPP01:46555     ESTABLISHED
  TCP    10.170.3.136:59715     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:59763     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:59764     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:59831     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:59887     lb-140-82-112-26-iad:https  ESTABLISHED
  TCP    10.170.3.136:60245     172.67.75.39:https     TIME_WAIT
  TCP    10.170.3.136:60258     mhdc01a:49671          TIME_WAIT
  TCP    10.170.3.136:60279     mhdc01a:epmap          TIME_WAIT
  TCP    10.170.3.136:60280     mhdc01a:49666          TIME_WAIT
  TCP    10.170.3.136:60291     a1370dc23e25e46ce:https  ESTABLISHED
  TCP    10.170.3.136:60298     mhdc01a:49671          TIME_WAIT
  TCP    10.170.3.136:60299     MHPNCSQL01:50320       TIME_WAIT
  TCP    10.170.3.136:60303     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:60304     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:60305     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:60320     MHBigFix:52311         TIME_WAIT
  TCP    10.170.3.136:60328     MHPNCSQL01:epmap       TIME_WAIT
  TCP    10.170.3.136:62706     193:https              ESTABLISHED
  TCP    10.170.3.136:62838     MHPNCSQL01:ms-sql-s    ESTABLISHED
  TCP    10.170.3.136:63666     MHPNCBRAPP01:46555     ESTABLISHED
  TCP    10.170.3.136:63667     MHPNCRTLS1:2000        ESTABLISHED
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60263     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60264     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60266     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60267     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60270     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60271     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60273     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60275     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60292     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60293     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60295     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60297     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60301     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60302     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60309     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60311     TIME_WAIT
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60313     FIN_WAIT_2
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60314     FIN_WAIT_2
  TCP    127.0.0.1:1947         MHPNCBRAPP01:60315     TIME_WAIT
